Id,Weekly_Sales
1_3_2013-07-12,14874.1614458552
1_3_2013-07-19,19861.9365001768
1_3_2013-07-26,20918.9040127615
1_4_2012-11-02,40584.1476482688
1_4_2012-11-09,38173.0799478511
1_4_2012-11-16,39857.69808685
1_4_2012-11-23,48953.3687349573
1_4_2012-11-30,39495.5234798412
1_4_2012-12-07,39593.3182698386
1_4_2012-12-14,40189.3049663499
1_4_2012-12-21,48832.9807850535
1_4_2012-12-28,39697.0068030412
1_4_2013-01-04,42348.4157288247
1_4_2013-01-11,37705.0122853353
1_4_2013-01-18,36767.4844696397
1_4_2013-01-25,35023.1674986939
1_4_2013-02-01,40083.969366144
1_4_2013-02-08,39744.1923625063
1_4_2013-02-15,37323.5304065762
1_4_2013-02-22,36941.9048684425
1_4_2013-03-01,39458.329120843
1_4_2013-03-08,38300.5758505423
1_4_2013-03-15,37742.4800982785
1_4_2013-03-22,35703.7897875228
1_4_2013-03-29,37126.3099551541
1_4_2013-04-05,40558.4186623571
1_4_2013-04-12,37320.9430144084
1_4_2013-04-19,37341.704883679
1_4_2013-04-26,36753.8133179035
1_4_2013-05-03,39715.399554882
1_4_2013-05-10,36418.6646477246
1_4_2013-05-17,36624.2021995796
1_4_2013-05-24,38467.7108097371
1_4_2013-05-31,41833.1989813491
1_4_2013-06-07,40113.5713480392
1_4_2013-06-14,37837.978299161
1_4_2013-06-21,37254.8527363746
1_4_2013-06-28,39853.7451318199
1_4_2013-07-05,43759.4755175478
1_4_2013-07-12,37614.3718383481
1_4_2013-07-19,37813.6996016087
1_4_2013-07-26,36445.9186686583
1_5_2012-11-02,29510.4056696532
1_5_2012-11-09,30321.3610946859
1_5_2012-11-16,25652.6965806767
1_5_2012-11-23,78232.0682207857
1_5_2012-11-30,29920.1596892101
1_5_2012-12-07,36173.5346970687
1_5_2012-12-14,40883.9135229018
1_5_2012-12-21,55811.4242622901
1_5_2012-12-28,42071.0739799162
1_5_2013-01-04,20375.0381940871
1_5_2013-01-11,18310.093789853
1_5_2013-01-18,19585.5525629662
1_5_2013-01-25,19774.1700577037
1_5_2013-02-01,30327.5663965983
1_5_2013-02-08,33944.5738150257
1_5_2013-02-15,39397.1166092577
1_5_2013-02-22,26469.7575363958
1_5_2013-03-01,28271.577789527
1_5_2013-03-08,24695.1353576243
1_5_2013-03-15,24953.992858234
1_5_2013-03-22,21089.389166239
1_5_2013-03-29,22092.3263387581
1_5_2013-04-05,24590.6318559045
1_5_2013-04-12,19069.6955136711
1_5_2013-04-19,18527.2211882568
1_5_2013-04-26,15509.1445621334
1_5_2013-05-03,17300.9424828609
1_5_2013-05-10,16724.493083198
1_5_2013-05-17,16424.8020264027
1_5_2013-05-24,16302.2647293782
1_5_2013-05-31,17351.5217811712
1_5_2013-06-07,21300.1573899262
1_5_2013-06-14,21321.1655490521
1_5_2013-06-21,20052.7367870028
1_5_2013-06-28,18049.7368192397
1_5_2013-07-05,18052.4448784647
1_5_2013-07-12,16972.3076938231
1_5_2013-07-19,17864.5205254598
1_5_2013-07-26,14772.655206961
1_6_2012-11-02,4458.76900274027
1_6_2012-11-09,3813.01744673411
1_6_2012-11-16,3164.39848061691
1_6_2012-11-23,16545.3170719095
1_6_2012-11-30,5063.69346060999
1_6_2012-12-07,5895.48146997753
1_6_2012-12-14,8077.21136311275
1_6_2012-12-21,14574.5482561528
1_6_2012-12-28,10874.3760880799
1_6_2013-01-04,2143.44270503538
1_6_2013-01-11,1883.13273663678
1_6_2013-01-18,2116.13037705737
1_6_2013-01-25,2261.53792528388
1_6_2013-02-01,3167.06586133937
1_6_2013-02-08,4259.42863015468
1_6_2013-02-15,4462.53996350725
1_6_2013-02-22,3763.60456316164
1_6_2013-03-01,3765.66336986959
1_6_2013-03-08,3269.67396378556
1_6_2013-03-15,3383.77644441723
1_6_2013-03-22,2878.17840370079
1_6_2013-03-29,2598.36883934044
1_6_2013-04-05,2966.07878292093
1_6_2013-04-12,3577.53261723259
1_6_2013-04-19,3240.26647624761
1_6_2013-04-26,3022.90344370132
1_6_2013-05-03,3939.96714393623
1_6_2013-05-10,4318.85125829943
1_6_2013-05-17,4474.61466031052
1_6_2013-05-24,4417.73258977352
1_6_2013-05-31,3038.73751254734
1_6_2013-06-07,2959.17587525328
1_6_2013-06-14,3315.90971406307
1_6_2013-06-21,3150.73313037425
1_6_2013-06-28,3123.05114521492
1_6_2013-07-05,3365.21272382928
1_6_2013-07-12,2536.8199467294
1_6_2013-07-19,3022.27649553208
1_6_2013-07-26,2639.66658519492
1_7_2012-11-02,24613.9683833027
1_7_2012-11-09,27747.5773994005
1_7_2012-11-16,26440.5775025012
1_7_2012-11-23,70652.1631402581
1_7_2012-11-30,34109.999163958
1_7_2012-12-07,41766.7220581748
1_7_2012-12-14,60424.9557627399
1_7_2012-12-21,101340.15546241
1_7_2012-12-28,67199.3888050359
1_7_2013-01-04,13519.0032000984
1_7_2013-01-11,9699.29558011888
1_7_2013-01-18,10613.3537902793
1_7_2013-01-25,11571.4828515919
1_7_2013-02-01,15621.9817342147
1_7_2013-02-08,18319.5992797999
1_7_2013-02-15,19195.0568717921
1_7_2013-02-22,18672.4979086519
1_7_2013-03-01,18344.4073620188
1_7_2013-03-08,17062.1422336043
1_7_2013-03-15,22997.1763875817
1_7_2013-03-22,16282.4523652232
1_7_2013-03-29,18166.7370780758
1_7_2013-04-05,22851.418120565
1_7_2013-04-12,19057.331106703
1_7_2013-04-19,19467.8479635891
1_7_2013-04-26,19533.237185659
1_7_2013-05-03,20280.9315261785
1_7_2013-05-10,20476.2294875913
1_7_2013-05-17,19971.757571631
1_7_2013-05-24,28485.9559763931
1_7_2013-05-31,34716.8430347394
1_7_2013-06-07,28962.5259515214
1_7_2013-06-14,27592.9780635126
1_7_2013-06-21,23675.9556765317
1_7_2013-06-28,22617.691225607
1_7_2013-07-05,22288.4972231513
1_7_2013-07-12,18292.7931009137
1_7_2013-07-19,17601.0670920383
1_7_2013-07-26,16813.9510025339
1_8_2012-11-02,41959.3017289883
1_8_2012-11-09,38720.3776593474
1_8_2012-11-16,37284.3030859131
1_8_2012-11-23,37740.5085817887
1_8_2012-11-30,39778.0545313067
1_8_2012-12-07,39916.574518361
1_8_2012-12-14,40076.3974834312
1_8_2012-12-21,43239.4716011624
1_8_2012-12-28,39405.7639281961
1_8_2013-01-04,39498.3843361123
1_8_2013-01-11,37373.5079805429
1_8_2013-01-18,38111.7423757185
1_8_2013-01-25,37274.1335642991
1_8_2013-02-01,42596.8016820784
1_8_2013-02-08,41061.9162135487
1_8_2013-02-15,39969.8780119444
1_8_2013-02-22,38951.0567949027
1_8_2013-03-01,41410.2018638552
1_8_2013-03-08,39510.1977814483
1_8_2013-03-15,38451.143954033
1_8_2013-03-22,37175.3173552023
1_8_2013-03-29,39232.030317732
1_8_2013-04-05,40921.0898544774
1_8_2013-04-12,38245.2623940112
1_8_2013-04-19,39511.8946955204
1_8_2013-04-26,38810.5827648346
1_8_2013-05-03,41975.4366618452
1_8_2013-05-10,38922.4476913356
1_8_2013-05-17,39897.0697921703
1_8_2013-05-24,39789.2567505124
1_8_2013-05-31,40928.9409516972
1_8_2013-06-07,40824.5878095763
1_8_2013-06-14,39425.9335059781
1_8_2013-06-21,38889.7523356154
1_8_2013-06-28,39931.3034926593
1_8_2013-07-05,40839.6091218281
1_8_2013-07-12,37911.8667795223
1_8_2013-07-19,37533.2860685572
1_8_2013-07-26,37660.2619860709
1_9_2012-11-02,50826.8572465436
1_9_2012-11-09,41336.6831981334
1_9_2012-11-16,35678.3299462732
1_9_2012-11-23,44281.435300232
1_9_2012-11-30,26941.9645152018
1_9_2012-12-07,30011.888251528
1_9_2012-12-14,33110.7887026242
1_9_2012-12-21,43617.9761303785
1_9_2012-12-28,37058.137619229
1_9_2013-01-04,23132.1621795936
1_9_2013-01-11,18568.1469012363
1_9_2013-01-18,16241.7678512482
1_9_2013-01-25,18323.856581433
1_9_2013-02-01,23120.1323867281
1_9_2013-02-08,22926.7870407253
1_9_2013-02-15,25352.3049550365
1_9_2013-02-22,28506.0702190247
1_9_2013-03-01,33099.5028550819
1_9_2013-03-08,32327.6951989339
1_9_2013-03-15,41584.3440806807
1_9_2013-03-22,38051.528692631
1_9_2013-03-29,41652.2553862681
1_9_2013-04-05,38438.6440817431
1_9_2013-04-12,34613.2740866845
1_9_2013-04-19,30655.6154191554
1_9_2013-04-26,30607.5552536704
1_9_2013-05-03,31272.2451696799
1_9_2013-05-10,27301.4531272357
1_9_2013-05-17,26888.5001247053
1_9_2013-05-24,30275.6219512554
1_9_2013-05-31,35421.6206435377
1_9_2013-06-07,30967.0530830117
1_9_2013-06-14,31947.8550246444
1_9_2013-06-21,28628.9777739857
1_9_2013-06-28,29148.1752994776
1_9_2013-07-05,33952.9345148305
1_9_2013-07-12,21646.8006462466
1_9_2013-07-19,23042.4372422694
1_9_2013-07-26,22258.3734230205
1_10_2012-11-02,32173.1051195364
1_10_2012-11-09,30996.118472339
1_10_2012-11-16,27386.2262121837
1_10_2012-11-23,32645.8656186517
1_10_2012-11-30,31366.8585413499
1_10_2012-12-07,30795.877274517
1_10_2012-12-14,27898.4537067179
1_10_2012-12-21,28508.9484623354
1_10_2012-12-28,27386.9287587824
1_10_2013-01-04,25035.3496169281
1_10_2013-01-11,22583.0898151307
1_10_2013-01-18,22965.7340953192
1_10_2013-01-25,21651.9465043964
1_10_2013-02-01,30602.8753530413
1_10_2013-02-08,33672.7168658876
1_10_2013-02-15,35410.4536307851
1_10_2013-02-22,33462.3871525149
1_10_2013-03-01,35153.1993791106
1_10_2013-03-08,32033.4423365391
1_10_2013-03-15,32975.0861071525
1_10_2013-03-22,32758.1856535015
1_10_2013-03-29,34809.5929903072
1_10_2013-04-05,33468.9513362457
1_10_2013-04-12,28217.2764818238
1_10_2013-04-19,29468.7351491791
1_10_2013-04-26,27251.5780788658
1_10_2013-05-03,29618.1883457803
1_10_2013-05-10,26623.1024504841
1_10_2013-05-17,25750.8233452471
1_10_2013-05-24,27724.5120450159
1_10_2013-05-31,31643.8721355245
1_10_2013-06-07,29994.9631148073
1_10_2013-06-14,28442.6096836634
1_10_2013-06-21,28024.5428901551
1_10_2013-06-28,28943.1182389301
1_10_2013-07-05,31503.5706190451
1_10_2013-07-12,27023.4707048658
1_10_2013-07-19,25542.7439963477
1_10_2013-07-26,26077.5950392211
1_11_2012-11-02,26980.5023178956
1_11_2012-11-09,21563.6838549679
1_11_2012-11-16,22108.013056302
1_11_2012-11-23,29654.8890117513
1_11_2012-11-30,35228.5510372476
1_11_2012-12-07,38597.365964192
1_11_2012-12-14,32606.9253406524
1_11_2012-12-21,31140.3176820492
1_11_2012-12-28,27567.5773613967
1_11_2013-01-04,25673.9253931341
1_11_2013-01-11,24463.1057642185
1_11_2013-01-18,21143.4031147778
1_11_2013-01-25,20492.4821258038
1_11_2013-02-01,22922.0773793915
1_11_2013-02-08,22913.2479867846
1_11_2013-02-15,23235.1981505126
1_11_2013-02-22,21549.8167705909
1_11_2013-03-01,22421.2553271695
1_11_2013-03-08,21876.3954708498
1_11_2013-03-15,24880.8341102415
1_11_2013-03-22,24814.3920569399
1_11_2013-03-29,24052.7626429769
1_11_2013-04-05,27620.0494693809
1_11_2013-04-12,24256.2747117712
1_11_2013-04-19,23795.1400313622
1_11_2013-04-26,22911.4128170666
1_11_2013-05-03,28193.6149992543
1_11_2013-05-10,28517.3946663495
1_11_2013-05-17,22243.2586019964
1_11_2013-05-24,27863.2650417485
1_11_2013-05-31,37498.8081880318
1_11_2013-06-07,36331.9215814582
1_11_2013-06-14,35141.7515639066
1_11_2013-06-21,30098.7927269408
1_11_2013-06-28,40695.3194631114
1_11_2013-07-05,35273.171379891
1_11_2013-07-12,31443.0217218872
1_11_2013-07-19,30632.273510598
1_11_2013-07-26,32122.3750654941
1_12_2012-11-02,9859.49166480314
1_12_2012-11-09,9997.57138819504
1_12_2012-11-16,9674.37986587751
1_12_2012-11-23,7689.82499269746
1_12_2012-11-30,7475.28413117813
1_12_2012-12-07,7767.46057081723
1_12_2012-12-14,7672.24807646998
1_12_2012-12-21,8027.71308010697
1_12_2012-12-28,7506.29351260048
1_12_2013-01-04,7346.58874309602
1_12_2013-01-11,7985.80564228711
1_12_2013-01-18,9213.02420851537
1_12_2013-01-25,7971.84768799929
1_12_2013-02-01,8802.24864278054
1_12_2013-02-08,8638.91929840381
1_12_2013-02-15,9823.36134011816
1_12_2013-02-22,10790.3016113133
1_12_2013-03-01,12076.2840396104
1_12_2013-03-08,11936.9006539112
1_12_2013-03-15,13286.9790673791
1_12_2013-03-22,11654.1562554524
1_12_2013-03-29,11695.0144502759
1_12_2013-04-05,11298.279607549
1_12_2013-04-12,11428.9050299232
1_12_2013-04-19,12372.7952183149
1_12_2013-04-26,10904.1846999635
1_12_2013-05-03,11976.8573725106
1_12_2013-05-10,11541.6321048634
1_12_2013-05-17,11683.9613886256
1_12_2013-05-24,12098.7668021237
1_12_2013-05-31,11948.122633865
1_12_2013-06-07,11199.0074987263
1_12_2013-06-14,10642.8143903737
1_12_2013-06-21,9804.26363341882
1_12_2013-06-28,11497.5548170026
1_12_2013-07-05,12822.9092671959
1_12_2013-07-12,9658.04892690424
1_12_2013-07-19,12044.1500053292
1_12_2013-07-26,11127.3920622587
1_13_2012-11-02,43001.8651184326
1_13_2012-11-09,39710.464360574
1_13_2012-11-16,38041.2832196457
1_13_2012-11-23,39939.8272584452
1_13_2012-11-30,39469.1630298014
1_13_2012-12-07,37916.6189087284
1_13_2012-12-14,35220.5010671659
1_13_2012-12-21,39350.6380225161
1_13_2012-12-28,34306.5722890153
1_13_2013-01-04,42688.7009051819
1_13_2013-01-11,38368.5461649746
1_13_2013-01-18,38438.1074259871
1_13_2013-01-25,36511.2481894384
1_13_2013-02-01,41611.8964806592
1_13_2013-02-08,40836.1637270492
1_13_2013-02-15,39865.3322182925
1_13_2013-02-22,39882.1412758377
1_13_2013-03-01,43561.8422213259
1_13_2013-03-08,39926.9947602524
1_13_2013-03-15,39895.5236230244
1_13_2013-03-22,38379.7173034115
1_13_2013-03-29,38904.6116343771
1_13_2013-04-05,41514.1574620902
1_13_2013-04-12,37710.5606395487
1_13_2013-04-19,38729.4663013957
1_13_2013-04-26,37809.2817974667
1_13_2013-05-03,41740.3228510288
1_13_2013-05-10,38225.4319339674
1_13_2013-05-17,38432.3211785762
1_13_2013-05-24,39353.869041873
1_13_2013-05-31,41173.8341948007
1_13_2013-06-07,41869.4584012338
1_13_2013-06-14,39027.5870200994
1_13_2013-06-21,38715.2144757193
1_13_2013-06-28,40300.4892836296
1_13_2013-07-05,42357.6029543019
1_13_2013-07-12,40063.7005741073
1_13_2013-07-19,39634.1629107406
1_13_2013-07-26,38411.2648598291
1_14_2012-11-02,15285.7187207107
1_14_2012-11-09,15617.5619795618
1_14_2012-11-16,17891.8592885757
1_14_2012-11-23,40363.1791879393
1_14_2012-11-30,18822.4754035688
1_14_2012-12-07,21654.026632468
1_14_2012-12-14,25700.061718933
1_14_2012-12-21,39759.5830780221
1_14_2012-12-28,32970.1278668888
1_14_2013-01-04,15584.2273197637
1_14_2013-01-11,13422.9386424897
1_14_2013-01-18,13490.0074102433
1_14_2013-01-25,13832.6439179391
1_14_2013-02-01,16142.6656434526
1_14_2013-02-08,17990.1386273655
1_14_2013-02-15,18758.6180809484
1_14_2013-02-22,16150.8015145655
1_14_2013-03-01,16571.6448854777
1_14_2013-03-08,15709.1464892264
1_14_2013-03-15,15229.6948932917
1_14_2013-03-22,13561.1171470977
1_14_2013-03-29,13991.0216143333
1_14_2013-04-05,14958.5289648423
1_14_2013-04-12,13696.5075936628
1_14_2013-04-19,13562.4242136086
1_14_2013-04-26,13673.9865976187
1_14_2013-05-03,15387.6653114733
1_14_2013-05-10,14607.097418704
1_14_2013-05-17,14376.022311655
1_14_2013-05-24,13746.740074491
1_14_2013-05-31,14478.9290587536
1_14_2013-06-07,14421.9531826993
1_14_2013-06-14,14449.4082864805
1_14_2013-06-21,13534.2615095214
1_14_2013-06-28,13666.7485180872
1_14_2013-07-05,15556.4262317711
1_14_2013-07-12,12985.4171922532
1_14_2013-07-19,12626.650930604
1_14_2013-07-26,11764.4881751399
1_16_2012-11-02,7653.51806552082
1_16_2012-11-09,6352.85862855091
1_16_2012-11-16,6261.90528768932
1_16_2012-11-23,8901.95808101225
1_16_2012-11-30,5254.00050374473
1_16_2012-12-07,5543.07886612191
1_16_2012-12-14,4982.86729566216
1_16_2012-12-21,6920.11118746174
1_16_2012-12-28,6191.61955385935
1_16_2013-01-04,7391.03675641354
1_16_2013-01-11,6692.83657145618
1_16_2013-01-18,7785.62907244028
1_16_2013-01-25,8373.5062734505
1_16_2013-02-01,11591.1699518251
1_16_2013-02-08,12350.6425790419
1_16_2013-02-15,13848.3419871898
1_16_2013-02-22,20717.8619657525
1_16_2013-03-01,29456.2627278204
1_16_2013-03-08,31798.8736534232
1_16_2013-03-15,41435.4988510332
1_16_2013-03-22,46302.5261268925
1_16_2013-03-29,51554.5469202455
1_16_2013-04-05,55340.5483133526
1_16_2013-04-12,48347.2564077197
1_16_2013-04-19,45310.0145496002
1_16_2013-04-26,43773.762624429
1_16_2013-05-03,43801.7638363076
1_16_2013-05-10,39464.9522464111
1_16_2013-05-17,37156.2233700614
1_16_2013-05-24,43801.4111467332
1_16_2013-05-31,44028.0441578705
1_16_2013-06-07,34567.5067315049
1_16_2013-06-14,34017.2604759304
1_16_2013-06-21,33255.7217407613
1_16_2013-06-28,34823.0289914392
1_16_2013-07-05,38021.2455659361
1_16_2013-07-12,25060.2689388299
1_16_2013-07-19,25737.6497421606
1_16_2013-07-26,23065.8618087844
1_17_2012-11-02,9212.97166521172
1_17_2012-11-09,8572.20003801017
1_17_2012-11-16,9250.57549426796
1_17_2012-11-23,12070.8590328739
1_17_2012-11-30,9828.70846611726
1_17_2012-12-07,10474.1916740673
1_17_2012-12-14,11929.249757915
1_17_2012-12-21,15835.1447985067
1_17_2012-12-28,12883.0006919264
1_17_2013-01-04,7572.65990603409
1_17_2013-01-11,7784.38587201819
1_17_2013-01-18,7871.61434167409
1_17_2013-01-25,7545.53749199176
1_17_2013-02-01,9554.40464834381
1_17_2013-02-08,11009.9243273483
1_17_2013-02-15,11457.4684133984
1_17_2013-02-22,10932.308889403
1_17_2013-03-01,11325.8722815451
1_17_2013-03-08,10553.2135127179
1_17_2013-03-15,9942.55212365697
1_17_2013-03-22,8788.25209315669
1_17_2013-03-29,8366.86201725229
1_17_2013-04-05,8748.86325485154
1_17_2013-04-12,7816.08788553709
1_17_2013-04-19,8010.21794798771
1_17_2013-04-26,7527.64747919184
1_17_2013-05-03,8829.84151576529
1_17_2013-05-10,8616.7172874978
1_17_2013-05-17,8503.57976273688
1_17_2013-05-24,7482.17799316493
1_17_2013-05-31,7683.17917024996
1_17_2013-06-07,8119.02796832056
1_17_2013-06-14,8072.33264640533
1_17_2013-06-21,7640.06393342605
1_17_2013-06-28,8092.27379526213
1_17_2013-07-05,8064.43770154496
1_17_2013-07-12,7530.65131196405
1_17_2013-07-19,8030.41523643744
1_17_2013-07-26,7835.54446820291
1_18_2012-11-02,14029.5732359955
1_18_2012-11-09,9005.96967653688
1_18_2012-11-16,14054.8883332641
1_18_2012-11-23,34117.1169698342
1_18_2012-11-30,49127.4219155249
1_18_2012-12-07,41806.7794091367
1_18_2012-12-14,34790.7258424202
1_18_2012-12-21,24381.6831787512
1_18_2012-12-28,21228.8697055001
1_18_2013-01-04,8555.58114966162
1_18_2013-01-11,2461.26445486691
1_18_2013-01-18,2591.78918515561
1_18_2013-01-25,3012.64089107089
1_18_2013-02-01,4278.59504987122
1_18_2013-02-08,12731.0692148077
1_18_2013-02-15,26080.3697000651
1_18_2013-02-22,2009.60391373073
1_18_2013-03-01,1498.11658460401
1_18_2013-03-08,1455.59532450847
1_18_2013-03-15,1712.18881578109
1_18_2013-03-22,2600.2352618286
1_18_2013-03-29,3719.21553276107
1_18_2013-04-05,10462.5885613875
1_18_2013-04-12,6196.35972204428
1_18_2013-04-19,6190.29427952765
1_18_2013-04-26,4237.01458259888
1_18_2013-05-03,943.995278308303
1_18_2013-05-10,650.107820162722
1_18_2013-05-17,605.208958698648
1_18_2013-05-24,611.094710393562
1_18_2013-06-07,603.388800095463
1_18_2013-07-05,585.230335541387
1_19_2012-11-02,1133.80212746383
1_19_2012-11-09,1167.27116711804
1_19_2012-11-16,1097.14524445089
1_19_2012-11-23,1197.91066605833
1_19_2012-11-30,1453.26645195761
1_19_2012-12-07,1586.58307153159
1_19_2012-12-14,1517.25013679695
1_19_2012-12-21,1629.71753410857
1_19_2012-12-28,1341.71175563598
1_19_2013-01-04,958.069440921879
1_19_2013-01-11,1013.68971502169
1_19_2013-01-18,901.100618329791
1_19_2013-01-25,772.366216541182
1_19_2013-02-01,1104.87201496306
1_19_2013-02-08,1381.07826708515
1_19_2013-02-15,1247.81127522902
1_19_2013-02-22,1286.95879458595
1_19_2013-03-01,1295.50118592537
1_19_2013-03-08,1314.79533456685
1_19_2013-03-15,1110.22081844821
1_19_2013-03-22,1082.63498385968
1_19_2013-03-29,1038.28456272649
1_19_2013-04-05,1162.06641894942
1_19_2013-04-12,985.192519617994
1_19_2013-04-19,1038.1108697158
1_19_2013-04-26,942.257330145968
1_19_2013-05-03,1326.96475389077
1_19_2013-05-10,1334.7035826717
1_19_2013-05-17,1252.28405525778
1_19_2013-05-24,1098.68796568575
1_19_2013-05-31,1047.5615391057
1_19_2013-06-07,1198.14892769226
1_19_2013-06-14,1042.7279960371
1_19_2013-06-21,1094.29979862308
1_19_2013-06-28,1105.21415483542
1_19_2013-07-05,983.520532865446
1_19_2013-07-12,1145.43834989951
1_19_2013-07-19,970.657125870278
1_19_2013-07-26,1166.814389756
1_20_2012-11-02,3718.72507061999
1_20_2012-11-09,3491.41517245062
1_20_2012-11-16,3447.65695420022
1_20_2012-11-23,5560.81480726205
1_20_2012-11-30,3048.78094191181
1_20_2012-12-07,3370.28935152685
1_20_2012-12-14,3889.74291390568
1_20_2012-12-21,4837.63430274115
1_20_2012-12-28,4143.80319354546
1_20_2013-01-04,3685.34171998918
1_20_2013-01-11,3539.8435694961
1_20_2013-01-18,3788.29283948234
1_20_2013-01-25,3767.54014627743
1_20_2013-02-01,4403.44785052622
1_20_2013-02-08,4915.47627922852
1_20_2013-02-15,4690.50413644085
1_20_2013-02-22,4568.81625745012
1_20_2013-03-01,4982.74624000796
1_20_2013-03-08,5159.92970481933
1_20_2013-03-15,5262.97337904449
1_20_2013-03-22,4168.8953284211
1_20_2013-03-29,4504.61752476995
1_20_2013-04-05,4387.60456128969
1_20_2013-04-12,3718.52595994252
1_20_2013-04-19,4068.08872268478
1_20_2013-04-26,3913.33093794565
1_20_2013-05-03,4297.00404646083
1_20_2013-05-10,4305.77577438758
1_20_2013-05-17,4508.03278655562
1_20_2013-05-24,4689.72244106304
1_20_2013-05-31,5378.57598489799
1_20_2013-06-07,5102.97265780059
1_20_2013-06-14,4721.41179450934
1_20_2013-06-21,4822.75744083521
1_20_2013-06-28,5290.4202568992
1_20_2013-07-05,5576.13390803142
1_20_2013-07-12,4501.28863152374
1_20_2013-07-19,5118.83300923316
1_20_2013-07-26,4448.59142970137
1_21_2012-11-02,8150.12304708566
1_21_2012-11-09,8582.39298085445
1_21_2012-11-16,8086.46820361032
1_21_2012-11-23,10049.0151934765
1_21_2012-11-30,8145.16203495127
